,0,,,,,,,,,API,LanguageTool,Features Service,PersonController
Features Service,,,,,,,,,,Total Requests,23980.75 (460.30),22424.80 (763.40),23649 (649.99)
API - 0,23409,10089,1467,11853,1,78.03,59.52,79.65,,2xx,11862.75 (2611.67),9152 (601.65),10194.80 (236.00)
API - 1,22908,9257,2984,10667,1,78.03,60.71,80.3,,4xx,10466 (186.41),1949.6 (783.78),1423.40 (675.31)
API - 2,22456,9157,1440,11859,1,78.03,59.52,80.53,,5xx,1652 (56.23),11323 (764.57),9810.80 (4842.33)
API - 3,21625,8702,2597,10326,1,78.03,60.71,80.53,,Unique 5xx,9.75 (0.96),1 (0),90.8 (5.67)
API - 4,21726,8555,1260,11911,1,78.03,54.76,78.56,,,,,
,22424.8,9152,1949.6,11323.2,1,78.03,59.044,79.914,,Mockoon,LanguageTool,Features Service,PersonController
,763.3981268,601.6493996,783.7814109,764.5725603,0,0,2.467636521,0.838289926,,Total Requests,22382.80 (105.72),22624.50 (354.60),22795.40 (345.19)
,,,,,,,,,,2xx,21264.40 (105.84),16527.80 (245.64),22111.6 (316.70)
,,,,,,,,,,4xx,1118.40 (35.54),6092 (134.64),682 (34.11)
Mockoon - 0,12535,9133,3401,1,0,,,,,5xx,0,4.75 (3.10),1.8 (1.79)
Mockoon - 1,22949,16742,6198,9,0,,,,,Unique 5xx,0,0,0
Mockoon - 2,22298,16388,5905,5,0,,,,,,,,
Mockoon - 3,22913,16728,6182,3,0,,,,,API w/ Mock Q-Table,LanguageTool,Features Service,PersonController
Mockoon - 4,22338,16253,6083,2,0,,,,,Total Requests,23729.40 (426.07),22071.60 (645.44),23763.60 (215.00)
,20606.6,15048.8,5553.8,4,0,,,,,2xx,12166.2 (255.96),10029.00 (525.18),10666.40 (128.78)
,4522.599507,3313.867936,1209.087549,3.16227766,0,,,,,4xx,10007 (361.74),1319.80 (102.54),1478.80 (755.18)
,22624.5,16527.75,6092,4.75,0,,,,,5xx,1570 (95.47),10722.80 (734.70),11618.40 (649.85)
,354.5969543,245.6425248,134.6427371,3.095695937,0,,,,,Unique 5xx,8.20 (1.10),1 (0),93 (4.12)
,,,,,,,,,,,,,
,,,,,,,,,,Code Coverage,LanguageTool,Features Service,PersonController
API w/ Q Table 0 ,22819,9485,1374,11960,1,73.41,53.57,75.71,,Method,35.89 (0.48),78.03 (0),81.72 (0)
API w/ Q Table 1,22336,10167,1341,10828,1,78.03,60.75,80.53,,Branch,19.06 (0.66),59.04 (2.47),3.33 (0)
API w/ Q Table 2,21702,10079,1451,10172,1,78.03,58.33,80.09,,Line,36.08 (0.60),79.91 (0.84),73.18 (0)
API w/ Q Table 3,21161,9606,1209,10346,1,78.03,59.52,79.65,,Code Coverage,LanguageTool,Features Service,PersonController
API w/ Q Table 4,22340,10808,1224,10308,1,78.03,61.9,80.74,,Method,36.21 (1.25),77.11 (2.07),81.72 (0)
,22071.6,10029,1319.8,10722.8,1,77.106,58.814,79.344,,Branch,19.03 (0.56),58.81 (3.22),3.33 (0)
,645.4357443,525.1785411,102.536335,734.7021165,0,2.066126811,3.221169042,2.074338449,,Line,36.09 (1.13),79.34 (2.07),73.18 (0)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
