GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.javiermf.features.models,Product,119,0,10,0,29,0,17,0,12,0
JaCoCo Coverage Report,org.javiermf.features.models,QFeature,89,0,6,0,17,0,9,0,6,0
JaCoCo Coverage Report,org.javiermf.features.models,ProductConfiguration,104,0,2,0,32,0,17,0,16,0
JaCoCo Coverage Report,org.javiermf.features.models,Feature,80,0,6,0,23,0,14,0,11,0
JaCoCo Coverage Report,org.javiermf.features.models,QProduct,105,0,0,0,11,0,4,0,4,0
JaCoCo Coverage Report,org.javiermf.features.models,QProductConfiguration,89,0,6,0,17,0,9,0,6,0
JaCoCo Coverage Report,org.javiermf.features.daos,ProductsConfigurationsDAO,132,0,2,0,28,0,8,0,7,0
JaCoCo Coverage Report,org.javiermf.features.daos,ProductsDAO,159,0,4,0,35,0,12,0,10,0
JaCoCo Coverage Report,org.javiermf.features.services,ProductsConfigurationsService,141,0,6,0,33,0,12,0,9,0
JaCoCo Coverage Report,org.javiermf.features.services,ProductsService,182,0,6,0,47,0,15,0,12,0
JaCoCo Coverage Report,org.javiermf.features.models.evaluation,ConfigurationEvaluator,66,0,8,0,14,0,7,0,3,0
JaCoCo Coverage Report,org.javiermf.features.models.evaluation,EvaluationResult,16,0,0,0,4,0,1,0,1,0
JaCoCo Coverage Report,org.javiermf.features.services.rest,ProductsConstraintsResource,63,0,0,0,7,0,4,0,4,0
JaCoCo Coverage Report,org.javiermf.features.services.rest,ProductsResource,46,0,0,0,10,0,8,0,8,0
JaCoCo Coverage Report,org.javiermf.features.services.rest,ProductsConfigurationResource,48,0,0,0,8,0,6,0,6,0
JaCoCo Coverage Report,org.javiermf.features.services.rest,ProductsFeaturesResource,47,0,0,0,7,0,5,0,5,0
JaCoCo Coverage Report,org.javiermf.features.services.rest,ProductsConfigurationFeaturesResource,66,0,4,0,10,0,6,0,4,0
JaCoCo Coverage Report,org.javiermf.features,JerseyConfig,48,0,0,0,15,0,2,0,2,0
JaCoCo Coverage Report,org.javiermf.features,Application,8,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,org.javiermf.features,CORSFilter,37,0,2,0,12,0,5,0,4,0
JaCoCo Coverage Report,org.javiermf.features.models.constraints,QConstraintRequires,79,0,4,0,17,0,8,0,6,0
JaCoCo Coverage Report,org.javiermf.features.models.constraints,QFeatureConstraint,71,0,6,0,14,0,9,0,6,0
JaCoCo Coverage Report,org.javiermf.features.models.constraints,QConstraintExcludes,79,0,4,0,17,0,8,0,6,0
JaCoCo Coverage Report,org.javiermf.features.models.constraints,FeatureConstraint,14,0,0,0,6,0,4,0,4,0
JaCoCo Coverage Report,org.javiermf.features.models.constraints,ConstraintRequires,46,0,4,0,17,0,10,0,8,0
JaCoCo Coverage Report,org.javiermf.features.models.constraints,ConstraintExcludes,61,0,4,0,18,0,10,0,8,0
JaCoCo Coverage Report,org.javiermf.features.exceptions,WrongProductConfigurationException,13,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.javiermf.features.exceptions,DuplicatedObjectException,11,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.javiermf.features.exceptions,ObjectNotFoundException,11,0,0,0,2,0,1,0,1,0
