GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.languagetool.tagging.ca,CatalanTagger,445,0,62,0,97,0,37,0,6,0
JaCoCo Coverage Report,org.languagetool.rules.ga,DativePluralStandardReplaceRule,90,0,2,0,23,0,9,0,8,0
JaCoCo Coverage Report,org.languagetool.rules.ga,SpacesRule,51,0,0,0,16,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.ga,DativePluralsData,529,0,52,0,96,0,33,0,7,0
JaCoCo Coverage Report,org.languagetool.rules.ga,PrestandardReplaceRule,55,0,0,0,17,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.ga,NoDisambiguationIrishPartialPosTagFilter,41,0,0,0,7,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.ga,EnglishHomophoneRule,59,0,0,0,16,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.ga,CompoundRule,42,0,4,0,14,0,6,0,4,0
JaCoCo Coverage Report,org.languagetool.rules.ga,DhaNoBeirtRule,273,0,32,0,53,0,22,0,6,0
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishReplaceRule,55,0,0,0,17,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.ga,DhaNoBeirtData,110,0,8,0,26,0,8,0,4,0
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishFGBEqReplaceRule,55,0,0,0,17,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishPartialPosTagFilter,56,0,0,0,9,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.ga,DativePluralsEntry,102,0,16,0,26,0,24,0,16,0
JaCoCo Coverage Report,org.languagetool.rules.ga,MorfologikIrishSpellerRule,50,0,4,0,16,0,8,0,6,0
JaCoCo Coverage Report,org.languagetool.rules.ga,LogainmRule,58,0,0,0,17,0,10,0,10,0
JaCoCo Coverage Report,org.languagetool.rules.ga,PeopleRule,55,0,0,0,17,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishSpecificCaseRule,214,0,28,0,47,0,21,0,7,0
JaCoCo Coverage Report,org.languagetool.tagging.sk,SlovakTagger,0,8,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.languagetool.synthesis.pl,PolishSynthesizer,360,0,58,0,77,0,34,0,5,0
JaCoCo Coverage Report,org.languagetool.tokenizers.zh,ChineseWordTokenizer,6,39,0,4,2,11,0,5,0,3
JaCoCo Coverage Report,org.languagetool.tokenizers.zh,ChineseSentenceTokenizer,35,51,6,6,9,12,7,3,2,2
JaCoCo Coverage Report,org.languagetool.languagemodel,MultiLanguageModel,73,0,4,0,18,0,6,0,4,0
JaCoCo Coverage Report,org.languagetool.languagemodel,LuceneSingleIndexLanguageModel,555,0,40,0,94,0,35,0,15,0
JaCoCo Coverage Report,org.languagetool.languagemodel,LuceneSingleIndexLanguageModel.LuceneSearcher,32,0,2,0,9,0,3,0,2,0
JaCoCo Coverage Report,org.languagetool.languagemodel,MockLanguageModel,10,0,0,0,3,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.languagemodel,LuceneLanguageModel,127,0,10,0,20,0,17,0,12,0
JaCoCo Coverage Report,org.languagetool.languagemodel,BaseLanguageModel,261,0,14,0,47,0,12,0,5,0
JaCoCo Coverage Report,org.languagetool.rules.patterns.bitext,FalseFriendsAsBitextLoader,88,0,6,0,20,0,5,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.patterns.bitext,BitextPatternRuleHandler,414,0,44,0,90,0,32,0,6,0
JaCoCo Coverage Report,org.languagetool.rules.patterns.bitext,BitextPatternRuleLoader,42,0,0,0,10,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.patterns.bitext,BitextPatternRule,44,0,2,0,13,0,9,0,8,0
JaCoCo Coverage Report,org.languagetool.synthesis.pt,PortugueseSynthesizer,0,6,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.languagetool.tagging.disambiguation.ru,RussianHybridDisambiguator,25,0,0,0,4,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.gl,GalicianRedundancyRule,11,34,0,0,5,10,5,5,5,5
JaCoCo Coverage Report,org.languagetool.rules.gl,GalicianWikipediaRule,11,34,0,0,5,10,5,5,5,5
JaCoCo Coverage Report,org.languagetool.rules.gl,GalicianBarbarismsRule,11,34,0,0,5,10,5,5,5,5
JaCoCo Coverage Report,org.languagetool.rules.gl,CastWordsRule,21,21,0,0,4,8,3,6,3,6
JaCoCo Coverage Report,org.languagetool.rules.gl,SimpleReplaceRule,21,21,0,0,4,8,3,6,3,6
JaCoCo Coverage Report,org.languagetool.rules.gl,GalicianWordinessRule,8,34,0,0,4,10,4,5,4,5
JaCoCo Coverage Report,org.languagetool.tokenizers.ja,JapaneseWordTokenizer,7,74,1,3,3,15,1,3,0,2
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionsOrdererFeatureExtractor.Feature,269,0,10,0,46,0,14,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionsOrderer,15,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionChangesDataset,46,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionsChanges,475,2,50,0,76,1,47,1,22,1
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionsChanges.Report,412,0,12,0,60,0,8,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionsOrdererFeatureExtractor,219,0,10,0,42,0,12,0,7,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionChangesExperiment,72,0,6,0,21,0,7,0,4,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionChangesTestConfig,48,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionChangesExperimentRuns,22,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.tagging.disambiguation,MultiWordChunker2.MultiWordEntry,22,9,0,0,2,4,2,1,2,1
JaCoCo Coverage Report,org.languagetool.tagging.disambiguation,MultiWordChunker2,232,186,31,19,45,46,27,11,9,4
JaCoCo Coverage Report,org.languagetool.tagging.disambiguation,MultiWordChunker,199,397,19,53,36,84,14,29,2,5
JaCoCo Coverage Report,org.languagetool.tagging.disambiguation,AbstractDisambiguator,2,3,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,org.languagetool.tagging.km,KhmerTagger,0,8,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.languagetool.tokenizers.ro,RomanianWordTokenizer,27,0,2,0,6,0,3,0,2,0
JaCoCo Coverage Report,org.languagetool.tagging.sv,SwedishTagger,0,8,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.languagetool.tagging.de,GermanTagger,743,910,131,83,99,154,91,38,8,14
JaCoCo Coverage Report,org.languagetool.tagging.de,GermanToken.Kasus,35,0,0,0,9,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.tagging.de,AnalyzedGermanToken,207,34,55,3,56,10,32,3,4,2
JaCoCo Coverage Report,org.languagetool.tagging.de,GermanToken.POSType,3,47,0,0,1,11,1,2,1,2
JaCoCo Coverage Report,org.languagetool.tagging.de,GermanTagger.PrefixInfixVerb,0,12,0,0,0,5,0,1,0,1
JaCoCo Coverage Report,org.languagetool.tagging.de,GermanToken.Determination,20,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.tagging.de,GermanToken.Genus,35,0,0,0,9,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.tagging.de,GermanToken.Numerus,25,0,0,0,7,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.tagging.de,VerbPrefixes,0,431,0,0,0,5,0,3,0,3
JaCoCo Coverage Report,org.languagetool.tagging.de,SwissGermanTagger,37,31,9,5,6,8,6,3,0,2
JaCoCo Coverage Report,org.languagetool.tagging.da,DanishTagger,0,8,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.languagetool.language,Tagalog,17,78,0,0,1,8,1,8,1,8
JaCoCo Coverage Report,org.languagetool.language,Breton,16,90,0,0,2,9,2,9,2,9
JaCoCo Coverage Report,org.languagetool.language,RuleFilenameException,12,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.language,Portuguese,161,384,43,1,51,25,49,18,7,18
JaCoCo Coverage Report,org.languagetool.language,Japanese,12,46,0,0,2,8,2,8,2,8
JaCoCo Coverage Report,org.languagetool.language,AngolaPortuguese,0,41,0,0,0,8,0,4,0,4
JaCoCo Coverage Report,org.languagetool.language,Contributor,26,0,0,0,9,0,5,0,5,0
JaCoCo Coverage Report,org.languagetool.language,Khmer,12,77,0,0,2,9,2,9,2,9
JaCoCo Coverage Report,org.languagetool.language,LanguageIdentifier.ImprovedUrlTextFilter,0,28,0,0,0,7,0,4,0,4
JaCoCo Coverage Report,org.languagetool.language,LanguageBuilder.ExtendedLanguage,125,0,0,0,31,0,24,0,24,0
JaCoCo Coverage Report,org.languagetool.language,Russian,278,14,4,0,26,4,19,4,17,4
JaCoCo Coverage Report,org.languagetool.language,ValencianCatalan,269,14,0,0,9,4,3,4,3,4
JaCoCo Coverage Report,org.languagetool.language,LanguageIdentifier.RemoveNonBreakingSpaces,0,9,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,org.languagetool.language,GermanyGerman,0,38,0,0,0,6,0,4,0,4
JaCoCo Coverage Report,org.languagetool.language,LanguageIdentifier.RemoveEMailSignatureFilter,0,10,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,org.languagetool.language,LanguageBuilder.new Language() {...},94,0,4,0,15,0,11,0,9,0
JaCoCo Coverage Report,org.languagetool.language,Contributors,19,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.language,German,197,473,39,4,52,36,43,22,9,20
